"CODE","en"
"NAME","Russian"
"AVO_DESC","Настройте ваши транспортные средства (CAVE Project by: wolPak)."
"TRN_CHOICE","Выбрать язык"
"TRN_TOOLTIP","Выберите язык, используемый для этого мода. Требуется
перезапустить игру. (по умолчанию: язык игры)"
"TRN_SYS","Использовать язык игры"
"KEY_KEY","Горячие клавиши в игре"
"KEY_KEY_TT","Определите горячую клавишу для интерфейса AVO."
"KEY_PRS","Нажмите любую клавишу"
"AVO_OPT_GEN","Общие настройки"
"AVO_OPT_GEN_ASAVE","Включить автосохранение для данных о конфигурации транспорта"
"AVO_OPT_GEN_ASAVE_TT","Если включено, все изменения на транспорте будут сохранены сразу
после ввода данных. (по умолчанию: включено)"
"AVO_OPT_GEN_DEBUG","Включить логирования сообщений отладки"
"AVO_OPT_GEN_DEBUG_TT","Если включено, будут записаны отладочные сообщения (по умолчанию: включено)"
"AVO_OPT_GEN_GUI","Скрыть кнопку панели инструментов в игре"
"AVO_OPT_GEN_GUI_TT","Скрыть кнопку UI на главной панели. Интерфейс AVO может быть
доступен с помощью горячей клавиши в любое время. (по умолчанию: отключено - показать кнопку UI)"
"AVO_OPT_GEN_SERVICE","Включить предупреждение для недоступных служб при загрузке карты"
"AVO_OPT_GEN_SERVICE_TT","Показывать предупреждение при запуске игры и городских служб
не имеют назначенного транспорта. (по умолчанию: включено)"
"AVO_OPT_BAL","Игра и баланс"
"AVO_OPT_BAL_UNITS","Показывать мили в час (мч/ч) вместо километра в час (км/ч)"
"AVO_OPT_BAL_UNITS_TT","Поменять отображение единицы скорости с миль/ч в км/ч.
(по умолчанию: отключено - использование км/ч)"
"AVO_OPT_BAL_EXT","Включить различные значения для не грузовых и не пассажирских транспорта"
"AVO_OPT_BAL_EXT_TT","Позволяет изменить скорость пожаротушения и мощность для пожарной безопасности,
Уровень преступности для полицейских машин, скорость обслуживания и прокачки
для автомобилей технического обслуживания. (по умолчанию: отключено)

Может нарушить баланс игрового процесса. Значения не задокументированы."
"AVO_OPT_COMP","Совместимость"
"AVO_OPT_COMP_MODS","Отображать предупреждения совместимости для модов"
"AVO_OPT_COMP_MODS_TT","Если включено, настройки, которые можно изменить в Improved Public Transport (от BloodyPenguin)
и Transport Lines Manager (от Klyte) будут отображаться красным цветом. Значения должны быть отредактированны только в этих модах. 

Если отключено, раскраска не будет отображаться. (по умолчанию: включено)"
"AVO_OPT_COMP_VCX","Перекрашивание транспортного средства/Объекта: Приоритет над покраской транспортного средства AVO"
"AVO_OPT_COMP_VCX_TT","Постоянная настройка, если активирована опция Vehicle Color Expander (от Klyte). 
Управление цветом управляется Vehicle Color Expander. Значения 
будут настроены в Vehicle/Asset Color Expander. (по умолчанию: постоянно включено)"
"AVO_OPT_COMP_NBT","Без больших грузовиков: классифицировать транспорт промышленных предприятий как крупные транспортные средства"
"AVO_OPT_COMP_NBT_TT","Если включено, грузовики с доставкой могут быть помечены как большие транспортные средства. Отправка 
будет заблокирована функцией без больших грузовиков (от MacSergey). (по умолчанию: включено)"
"AVO_OPT_COMP_TRL","Последнее обновление ссылок на совместимость с прицепом для транспорта:"
"AVO_OPT_COMP_TRL_TT","Это поле показывает дату пересмотра перечня автомобилей автобуса, 
троллейбуса, прицепов для пожара и полицейских, которые находятся как
промышленные прицепы, но их категория была сменена AVO."
