"LANGUAGE","Deutsch"
"LBR_NAME","Lifecycle Rebalance Revisited"
"LBR_DESC","Erhöht die Lebenserwartung der Bürger per Zufall. Das Alter und Bildungsniveau von Einwanderern ist zufällig und verändert wie Bürger von und zur Arbeit reisen"
"LBR_SPN","Lebenserwartung"
"LBR_SPN_WRN","Warnung"
"LBR_SPN_BAL","Veränderung der Einstellung im laufenden Spiel, kann vorübergehend das Bevölkerungsgleichgewicht stören."
"LBR_SPN_BAK","Es wird DRINGEND empfohlen eine Sicherungskopie von eurem Spielstand zu erstellen, bevor ihr die Einstellungen ändert."
"LBR_CAL","Parameter zur Berechnung des Lebenszyklus"
"LBR_CAL_SUN","Modifizierte Lebenserwartung gemäß Sunset Harbor Mod (Standardeinstellung)"
"LBR_CAL_LEG","Modifizierte alte Lebenserwartung (Original WG Mod) - Kürzere Lebenserwartung, weniger Rentner"
"LBR_CAL_VAN","Vanilla Sunset Harbor Lebenserwartung - Lebenserwartung weniger zufällig, etwas mehr Rentner"
"LBR_SHO","(nur mit der gemoddeten Sunset Harbor Lebenserwartung verwendbar)"
"LBR_RET","Rentenalter-Einstellung"
"LBR_RET_USE","Benutzerdefiniertes Rentenalter verwenden"
"LBR_RET_CUS","Benutzerdefiniertes Rentenalter"
"LBR_RET_NT1","Die Senkung des Rentenalters hat keinen Einfluss auf Bürger, die aufgrund der vorherigen Einstellung bereits in Rente gegangen sind."
"LBR_RET_NT2","Die Erhöhung des Rentenalters hat keinen Einfluss auf Bürger, die aufgrund der vorherigen Einstellung bereits in Rente gegangen sind."
"LBR_CHI","Kindesalter-Einstellungen"
"LBR_CHI_CUS","Benutzerdefinierte Einstellungen für das Kindesalter"
"LBR_CHI_SCH","Alter in Jahren, zu dem ein Kind eingeschult wird"
"LBR_CHI_TEE","Alter in Jahren, zu dem ein Kind auf die weiterführende Schule wechselt"
"LBR_CHI_YOU","Alter in Jahren, zu dem ein Kind auf die Huchschule/Universität wechselt"
"LBR_HEA","Gesundheit"
"LBR_HEA_ILL","Wahrscheinlichkeit, dass ein Bürger zufällig krank wird (in % pro 10 Jahre)"
"LBR_HEA_ILD","Dies beeinflusst nicht Krankheit durch andere Einflüsse wie z.B. Verschmutzung oder Lärmbelastung"
"LBR_HEA_AGE","Altersbereiche"
"LBR_DTH","Tod"
"LBR_DTH_TRN","Anteil der Leichen, die transportiert werden müssen in %"
"LBR_DTH_TRD","(Vanilla-Standard: 67%, Mod-Standard: 50%)"
"LBR_IMM","Einwanderung"
"LBR_IMM_VAR","Variiere das Bildungsniveau der Einwanderer um 25%"
"LBR_IMM_INC","Durchschnittliches Bildungsniveau der Einwanderer erhöhen"
"LBR_IMM_DEC","Durchschnittliches Bildungsniveau der Einwanderer verringern"
"LBR_SET","Einstellungen"
"LBR_SET_LGD","Todesfälle protokollieren in 'Lifecycle death log.txt'"
"LBR_SET_LGI","Einwanderer protokollieren in 'Lifecycle immigration log.txt'"
"LBR_SET_LGT","Wahl des Transportmittels protokollieren in 'Lifecycle transport log.txt' ACHTUNG - LAGGT!"
