"LANGUAGE","Français"
"LBR_NAME","Rééquilibrage revisité du cycle de vie "
"LBR_DESC","Augmentation et randomisation de la durée de vie des citoyens, randomisation de l'âge et du niveau de scolarité des immigrants et modification de la façon dont les citoyens se déplacent vers et depuis leur lieu de travail"
"LBR_SPN","Durée de vie"
"LBR_SPN_WRN","Attention"
"LBR_SPN_BAL","La modification des paramètres pendant une partie peut perturber temporairement l'équilibre de la ville."
"LBR_SPN_BAK","L'enregistrement d'une sauvegarde avant la modification est FORTEMENT recommandé."
"LBR_CAL","Modèle de calcul du cycle de vie"
"LBR_CAL_SUN","Durée de vie du Mod Sunset Harbor (par défaut)"
"LBR_CAL_LEG","Durée de vie du mod legacy (mod WG original) - durée de vie plus courte, moins de personnes âgées"
"LBR_CAL_VAN","Durée de vie de Vanilla Sunset Harbor - moins de durée de vie variable, un peu plus seniors "
"LBR_SHO","(uniquement lors de l'utilisation des mods de durée de vie de Sunset Harbor)"
"LBR_RET","Options d'âge de la retraite"
"LBR_RET_USE","Utiliser l'âge de la retraite personnalisé"
"LBR_RET_CUS","Âge de la retraite personnalisé"
"LBR_RET_NT1","La réduction de l'âge de la retraite ne changera pas l'apparence des citoyens qui ont déjà pris leur retraite dans les paramètres précédents."
"LBR_RET_NT2","L'augmentation de l'âge de la retraite ne changera pas l'apparence des citoyens qui ont déjà pris leur retraite dans les paramètres précédents."
"LBR_CHI","Options d'âge de l'enfance"
"LBR_CHI_CUS","Utiliser l'âge de l'enfance personnalisé"
"LBR_CHI_SCH","Âge des années au cours desquelles les enfants commencent l'école"
"LBR_CHI_TEE","Âge en années au cours desquelles les enfants commencent le secondaire"
"LBR_CHI_YOU","Âge en années durant lesquelles les enfants commencent leurs études universitaires"
"LBR_HEA","Santé"
"LBR_HEA_ILL","% de chances de maladies aléatoires par décénnie de vie"
"LBR_HEA_ILD","N'affecte pas la maladie de causes spécifiques, par ex. pollution ou bruit"
"LBR_HEA_AGE","Âge"
"LBR_DTH","Morts"
"LBR_DTH_TRN","% de cadavres nécessitant un transport des pompes funèbres"
"LBR_DTH_TRD","(Jeu par défaut 67%, mod par défaut 50%)"
"LBR_IMM","Immigration"
"LBR_IMM_VAR","Appliquer une variation de 25% aux niveaux d'éducation des immigrants"
"LBR_IMM_INC","Augmenter le niveau de scolarité moyen des immigrants"
"LBR_IMM_DEC","Diminuer le niveau de scolarité moyen des immigrants"
"LBR_SET","Paramètres"
"LBR_SET_LGD","Enregistrez les décès dans 'Lifecycle death log.txt'"
"LBR_SET_LGI","Enregistrez les immigrants dans 'Lifecycle immigration log.txt'"
"LBR_SET_LGT","Consigner les choix de transport personnalisés dans 'Lifecycle transport log.txt' AVERTISSEMENT - LENT!"
"LBR_SET_LGS","Consigner les événements de maladie dans 'Lifecycle maladie log.txt'"
"LBR_SPD","Vitesse"
"LBR_SPD_FAC","Facteur pour ralentir la vitesse à laquelle les citoyens vieillissent, par rapport au jeu de base."
"LBR_SPD_FN1","1 est la vitesse de jeu de base (35 semaines de jeu équivalent à 10 ans), 2 est deux fois plus lent (70 semaines de jeu pour 10 ans), 3 est trois fois plus lent, etc. Un multiplicateur de 15 signifie que les citoyens vieilliront environ un an pour chaque année de jeu. "
"LBR_SPD_FN2","N'affecte pas les cycles de vie des âges - seulement la vitesse à laquelle les citoyens vieillissent par rapport à la vitesse du jeu."
"LBR_SPD_FN3","(Jeu par défaut 1, mod par défaut 3)"
"LBR_TRN","Transport"
"LBR_TRN_CUS","Utiliser des probabilités de mode de transport personnalisées"
