"LANGUAGE","한국어"
"LBR_NAME","Lifecycle Rebalance Revisited"
"LBR_DESC","시민들의 수명을 늘리고 다양화합니다. 이주민들의 나이와 교육 수준을 다양화합니다. 그리고 시민들이 출퇴근하는 방법을 바꿉니다."
"LBR_SPN","수명"
"LBR_SPN_WRN","경고"
"LBR_SPN_BAL","게임 중에 설정을 변경하면 일시적으로 도시의 균형이 무너질 수 있습니다."
"LBR_SPN_BAK","설정을 변경하기 전에 백업본을 반드시 만드십시오."
"LBR_CAL","수명 계산 모델"
"LBR_CAL_SUN","수정된 노을항 수명 (기본)"
"LBR_CAL_LEG","수정된 예전 수명 (모드 원작자 WG) - 수명 감소, 노인 적어짐"
"LBR_CAL_VAN","기본 노을항 수명 - 덜 다양한 수명, 노인층 약간 증가"
"LBR_SHO","(수정된 노을항 수명 사용시만)"
"LBR_RET","은퇴 나이 옵션"
"LBR_RET_USE","은퇴 나이 직접 설정하기"
"LBR_RET_CUS","은퇴 나이 설정"
"LBR_RET_NT1","은퇴 나이를 낮춰도 설정 변경 전에 이미 은퇴한 사람들의 고용 상태가 바뀌지는 않습니다."
"LBR_RET_NT2","은퇴 나이를 높여도 설정 변경 전에 이미 은퇴한 사람들이 은퇴를 번복하지는 않습니다."
"LBR_CHI","어린이 나이 옵션"
"LBR_CHI_CUS","어린이 나이 직접 설정하기"
"LBR_CHI_SCH","초등학교 취학 연령"
"LBR_CHI_TEE","고등학교 취학 연령"
"LBR_CHI_YOU","대학교 취학 연령"
"LBR_HEA","건강"
"LBR_HEA_ILL","매 10년 주기에 따른 시민들의 질병 발생 확률"
"LBR_HEA_ILD","특정 요인 (오염, 소음공해 등) 으로 인해 발생하는 환자 수에는 영향을 미치지 않습니다."
"LBR_HEA_AGE","나이"
"LBR_DTH","죽음"
"LBR_DTH_TRN","발생된 모든 시신 중 운구해야 할 시신의 비율"
"LBR_DTH_TRD","(게임 기본값 : 67%, 이 모드 기본값 : 50%)"
"LBR_IMM","시민 전입"
"LBR_IMM_VAR","전입한 시민들의 교육 수준 25% 다양화"
"LBR_IMM_INC","전입한 시민들의 평균 학력 높이기"
"LBR_IMM_DEC","전입한 시민들의 평균 학력 낮추기"
"LBR_SET","세팅"
"LBR_SET_LGD","Lifecycle death log.txt 파일에 시민 사망 기록"
"LBR_SET_LGI","Lifecycle immigration log.txt 파일에 시민 전입 기록"
"LBR_SET_LGT","Lifecycle transport log.txt 파일에 교통수단 사용 기록 (경고 - 게임이 느려집니다!)"
"LBR_SET_LGS","Lifecycle sickness log.txt 파일에 환자 발생 기록"
"LBR_SPD","속도"
"LBR_SPD_FAC","기본 게임에 비해서 시민들이 나이를 먹는 속도를 늦추기"
"LBR_SPD_FN1","1이 기본 게임 속도입니다. (게임 시간 35주마다 10살씩 나이를 먹음.) 2는 그 절반의 속도입니다. (게임 시간 70주마다 10살씩 나이를 먹음.) 3은 그 1/3의 속도입니다. 이렇게 계속됩니다. 이 수치를 15로 설정하면 시민들이 게임 시간 1년마다 나이를 1살씩 먹게 됩니다."
"LBR_SPD_FN2","생애주기나 시민들의 현재 나이에는 영향을 미치지 않습니다. 시민들이 나이를 먹는 속도에만 영향을 미칩니다."
"LBR_SPD_FN3","(게임 기본값 : 1, 모드 기본값 : 3)"
"LBR_TRN","교통 수단"
"LBR_TRN_CUS","교통 수단별 이용 확률 직접 설정하기"
"LBR_TRN_WEA","경제 수준"
"LBR_TRN_CAR","자동차 이용 확률 (%)"
"LBR_TRN_BIK","자전거 이용 확률 (%)"
"LBR_TRN_TAX","택시 이용 확률 (%)"
"LBR_TRN_RLO","저밀도 거주지"
"LBR_TRN_RHI","고밀도 거주지"
"LBR_TRN_RW2","Residential wall-to-wall"
"LBR_TRN_ERL","자급자족 저밀도 거주지"
"LBR_TRN_ERH","자급자족 고밀도 거주지"
"LBR_TRN_CHL","어린이"
"LBR_TRN_TEN","청소년"
"LBR_TRN_YAD","청년"
"LBR_TRN_ADL","성인"
"LBR_TRN_SEN","노인"
"LBR_DEF","기본값"
"LBR_RTD","기본값으로 환원"
"LBR_RTS","저장된 값으로 변경"
"LBR_SAA","저장 후 적용"
"LBR_ZRO","모든 수치를 0으로"
"LBR_150_TIT","Lifecycle Rebalance Revisited 모드가 1.5 버전으로 업데이트되었습니다."
"LBR_150_NT1","설정 패널에서 교통 수단별 이용 확률을 직접 설정할 수 있습니다. 자급자족 거주지 구역과 일반 거주지 구역을 다르게 설정할 수 있습니다."
"LBR_150_NT2","이 도시로 전입하는 시민들의 교육 수준을 변경할 수 있습니다."
"LBR_151_NT1","번역된 문장들을 제대로 표기하기 위해서 설정 창의 레이아웃을 조정했습니다."
"LBR_152_NT1","소년소녀가장 가정이 생기는 것을 막기 위해, 어린 아이를 키우는 핵가족 부모 중 마지막 한 명은 일찍 죽지 않도록 변경되었습니다."
"LBR_152_NT2","모드 충돌 감지 및 알림 개선"
"LBR_152_NT3","업데이트 알림 개선"
"LBR_154_NT1","마지막 부모 사망 시 처리 변경 : 부모가 없는 아이는 게임에서 제거됩니다. (아이가 성장할 때까지 부모를 살리는 것이 아니라)"
"LBR_154_NT2","잘못된 데이터의 건물 거주자를 확인하고 제거하는 코드 추가."
"LBR_160_NT1","중요한 새 특징 : 어린이부터 청년까지, 생애 초기 나이먹기와 성장의 현실화. (선택 및 조정 가능)"
"LBR_160_NT2","새로운 생애 초기 나이먹기는 현실세계의 나이와 생애주기를 기준으로 맞춰져 있으며, 미취학 아동 단계를 포함하고 있습니다."
"LBR_160_NT3","이 옵션은 모드 옵션 창에서 켜고 끄거나 조정될 수 있습니다."
"LBR_160_NT4","주의 : 이 옵션은 처음부터 기본으로 켜져 있습니다."
