"LANGUAGE","Nederlands"
"LBR_NAME","Lifecycle Rebalance Revisited"
"LBR_DESC","Verlengt en varieert de levensduur van inwoners, wijst immigranten een willekeurige opleidingsniveau en leeftijd toe en verandert hoe inwoners van en naar werk reizen"
"LBR_SPN","Levensduur"
"LBR_SPN_WRN","Waarschuwing"
"LBR_SPN_BAL","Het aanpassen van instellingen in een bestaand spel kan de balans van je stad tijdelijk verstoren."
"LBR_SPN_BAK","Het maken van een reservekopie alvorens aanpassingen te maken wordt ZEER aangeraden."
"LBR_CAL","Berekeningsmodel voor levenscyclus"
"LBR_CAL_SUN","Gewijzigde levensverwachting op basis van Sunset Harbor instellingen (standaardinstelling)"
"LBR_CAL_LEG","Gewijzigde levensverwachting op basis van originele berekeningen (originele WG Mod) - Kortere levensverwachting, minder senioren"
"LBR_CAL_VAN","Vanilla Sunset Harbor levenscyclus - Minder variabele levenscyclussen, iets meer senioren"
"LBR_SHO","(alleen van toepassing bij `Sunset Harbor levenscyclus`)"
"LBR_RET","Opties voor pensioenleeftijd"
"LBR_RET_USE","Gebruik aangepaste pensioenleeftijd"
"LBR_RET_CUS","Aangepaste pensioenleeftijd"
"LBR_RET_NT1","Het instellen van een lagere pensioenleeftijd heeft geen invloed op de huidige status van inwoners die al met pensioen zijn"
"LBR_RET_NT2","Het instellen van een hogere pensioenleeftijd heeft geen invloed op inwoners die al met pensioen zijn."
"LBR_CHI","Leeftijdsopties jeugd"
"LBR_CHI_CUS","Gebruik aangepaste leeftijden voor jeugd"
"LBR_CHI_SCH","Leeftijd in jaren waarop kinderen naar school gaan"
"LBR_CHI_TEE","Leeftijd in jaren waarop kinderen naar de middelbare school gaan"
"LBR_CHI_YOU","Leeftijd in jaren waarop kinderen naar de beroepsopleiding/universiteit gaan"
"LBR_HEA","Gezondheid"
"LBR_HEA_ILL","Willekeurige kans op ziekte in % per 10 jaar"
"LBR_HEA_ILD","Heeft geen invloed op ziektes met externe oorzaak zoals vervuiling, geluidsoverlast etc."
"LBR_HEA_AGE","Leeftijden"
"LBR_DTH","Overlijden"
"LBR_DTH_TRN","% overledenen die vervoerd moeten worden"
"LBR_DTH_TRD","(Spelstandaard 67%, modstandaard 50%)"
"LBR_IMM","Immigratie"
"LBR_IMM_VAR","Pas 25% variatie toe op het opleidingsniveau van immigranten"
