"LANGUAGE","Polski"
"LBR_NAME","Lifecycle Rebalance Revisited"
"LBR_DESC","Zwiększa i tworzy losowość długości życia mieszkańców, generuje losowy wiek, poziom wykształcenia imigrantów oraz zmienia sposób podróżowania mieszkańców z i do pracy"
"LBR_SPN","Długość życia"
"LBR_SPN_WRN","Ostrzeżenie"
"LBR_SPN_BAL","Zmiana ustawień podczas gry może na stałe zakłócić balans miasta."
"LBR_SPN_BAK","ZALECANE wykonanie kopii zapisu przed dokonaniem zmian."
"LBR_CAL","Model kalkulacji cyklu życia"
"LBR_CAL_SUN","Mod Sunset Harbor długość życia (domyślny)"
"LBR_CAL_LEG","Zmodyfikowana stara żywotność (oryginalny WG mod) - krótsze życie, mniej seniorów"
"LBR_CAL_VAN","Vanilla Sunset Harbor długość życia - mniej zmienna długość życia, odrobinę więcej seniorów"
"LBR_SHO","(tylko gdy używane są modyfikacje Sunset Harbour długości życia)"
"LBR_RET","Opcje wieku emerytalnego"
"LBR_RET_USE","Używaj niestandardowego wieku emerytalnego"
"LBR_RET_CUS","Niestandardowy wiek emerytalny"
"LBR_RET_NT1","Zmniejszenie wieku emerytalnego nie zmieni statusu mieszkańców, którzy są już na emeryturze przed zmianą ustawień."
"LBR_RET_NT2","Zwiększenie wieku emerytalnego nie zmieni wyglądu mieszkańców, którzy są już na emeryturze przed zmianą ustawień."
"LBR_CHI","Opcje wieku dzieciństwa"
"LBR_CHI_CUS","Użyj własnego wieku dzieciństwa"
"LBR_CHI_SCH","Wiek w latach, w którym dzieci rozpoczynają naukę"
"LBR_CHI_TEE","Wiek w latach, w którym dzieci rozpoczynają naukę w liceum"
"LBR_CHI_YOU","Wiek, w którym uczniowie rozpoczynają studia"
"LBR_HEA","Zdrowie"
"LBR_HEA_ILL","Losowy % szans na choroby w dekadzie życia"
"LBR_HEA_ILD","Nie wpływa na choroby z określonych przyczyn, np. zanieczyszczenie lub hałas"
"LBR_HEA_AGE","Wiek"
"LBR_DTH","Zgon"
"LBR_DTH_TRN","% martwych ciał wymagających transportu po śmierci"
"LBR_DTH_TRD","(Domyślnie dla gry 67%, domyślnie dla modyfikacji 50%)"
"LBR_IMM","Imigracja"
"LBR_IMM_VAR","Zastosuj zróżnicowanie 25% dla poziomów edukacji imigrantów"
"LBR_IMM_INC","Zwiększ średni poziom wykształcenia imigrantów"
"LBR_IMM_DEC","Zmniejsz średni poziom wykształcenia imigrantów"
"LBR_SET","Ustawienia"
"LBR_SET_LGD","Rejestruj zgony w 'Lifecycle death log.txt'"
"LBR_SET_LGI","Rejestruj imigrantów w 'Lifecycle immigration log.txt'"
"LBR_SET_LGT","Rejestruj niestandardowe opcje transportu w 'Lifecycle transport log.txt' OSTRZEŻENIE - SPOWOLNIONE DZIAŁANIE!"
"LBR_SET_LGS","Rejestruj zdarzenia dotyczące chorób w „Lifecycle disease log.txt”"
"LBR_SPD","Szybkość"
"LBR_SPD_FAC","Czynnik spowolnienia starzenia się obywateli w porównaniu z grą podstawową."
"LBR_SPD_FN1","1 jest podstawową szybkością gry (35 tygodni w grze to 10 lat), 2 to dwa razy wolniej (70 tygodni w grze to 10 lat), 3 to trzy razy wolniej itd. Mnożnik 15 będzie oznaczał, że mieszkańcy będą się starzeć w przybliżeniu o rok w czasie każdego roku w grze."
"LBR_SPD_FN2","Nie wpływa na cykle życia ani na wiek - tylko szybkość, z jaką starzeją się obywatele względem szybkości gry."
"LBR_SPD_FN3","(Domyślnie dla gry 1, Domyślnie dla modyfikacji 3)"
"LBR_TRN","Transport"
"LBR_TRN_CUS","Użyj prawdopodobieństwa niestandardowych rodzaji pojazdów"
"LBR_TRN_WEA","Poziom zamożności"
"LBR_TRN_CAR","Prawdopodobieństwo użycia samochodu (%)"
"LBR_TRN_BIK","Prawdopodobieństwo użycia roweru (%)"
"LBR_TRN_TAX","Prawdopodobieństwo użycia taksówki (%)"
"LBR_TRN_RLO","Niskie zagęszczenie"
"LBR_TRN_RHI","Wysokie zagęszczenie"
"LBR_TRN_RW2","Residential wall-to-wall"
"LBR_TRN_ERL","Ekologiczne niskie zagęszczenie"
"LBR_TRN_ERH","Ekologiczne wysokie zagęszczenie"
"LBR_TRN_CHL","Dziecko"
"LBR_TRN_TEN","Nastolatek"
"LBR_TRN_YAD","Młody dorosły"
"LBR_TRN_ADL","Dorosły"
"LBR_TRN_SEN","Senior"
"LBR_DEF","domyślny"
"LBR_RTD","Zresetuj do ustawień domyślnych"
"LBR_RTS","Przywróć do ustawień zapisanych"
"LBR_SAA","Zapisz i zastosuj"
"LBR_ZRO","Ustaw wszystko na 0"
"LBR_150_TIT","Lifecycle Rebalance Revisited został zaktualizowany do wersji 1.5"
"LBR_150_NT1","Wybór środków transportu można teraz edytować za pomocą panelu opcji, a ekologiczne i zwykłe mieszkanie może mieć różne tryby pracy"
"LBR_150_NT2","Poziom edukacji ludności wprowadzającej się do twojego miasta może być modyfikowany"
"LBR_151_NT1","Dostosuj układ panelu opcji do tłumaczenia"
"LBR_152_NT1","Samotni rodzice z niepełnoletnimi dziećmi mieszkającymi w domu będą chronieni przed przedwczesną śmiercią, aby zapobiec osieroconym gospodarstwom domowym"
"LBR_152_NT2","Ulepszone sprawdzanie i powiadamianie o konfliktach modyfikacji"
"LBR_152_NT3","Ulepszone powiadomienia o aktualizacjach"
"LBR_154_NT1","Zmień postępowanie ze śmiercią jednego z rodziców: usuń osierocone dzieci, gdy oboje rodzice umierają (zamiast oszczędzania śmierci jednego z nich)"
"LBR_154_NT2","Dodaj kod, aby sprawdzić i usunąć mieszkańców budynku z nieprawidłowymi danymi"
"LBR_160_NT1","NOWA GŁÓWNA FUNKCJA: realistyczne wczesne dorastanie i jego postęp, od wczesnego dzieciństwa do młodego dorosłego (opcjonalne, konfigurowalne)"
"LBR_160_NT2","Nowe starzenie się na wczesnym etapie życia łączy się z rzeczywistymi wartościami i etapami życia i obejmuje etap przedszkolny (małe dzieci)"
"LBR_160_NT3","Ta opcja może być włączona/wyłączona i dostosowana w panelu opcji modyfikacji"
"LBR_160_NT4","UWAGA: ta opcja jest początkowo włączona domyślnie"
