"LANGUAGE","Русский"
"LBR_NAME","Пересмотр баланса жизненного цикла"
"LBR_DESC","Увеличивает и создает случайность в ожидаемой продолжительности жизни жителей, генерирует случайный возраст, уровень образования иммигрантов и меняет способ передвижения жителей на работу и с работы"
"LBR_SPN","Продолжительность жизни"
"LBR_SPN_WRN","Предупреждение"
"LBR_SPN_BAL","Изменение настроек во время игры может временно нарушить баланс города."
"LBR_SPN_BAK","РЕКОМЕНДУЕТСЯ сделать копию сохранения перед внесением изменений."
"LBR_CAL","Модель расчёта цикла жизни"
"LBR_CAL_SUN","Модификатор продолжительности жизни Sunset Harbour (по умолчанию)"
"LBR_CAL_LEG","Старый модификатор жизни (оригинальный мод WG) - короче жизнь, меньше пенсионеров"
"LBR_CAL_VAN","Ванильная для Sunset Harbor продолжительность жизни - менее изменчивая продолжительность, немного больше пожилых людей"
"LBR_SHO","(только для Sunset Harbor)"
"LBR_RET","Выбор пенсионного возраста"
"LBR_RET_USE","Использовать настраиваемый возраст выхода на пенсию"
"LBR_RET_CUS","Нестандартный пенсионный возраст "
"LBR_RET_NT1","Понижение пенсионного возраста не изменит статуса жителей, которые уже вышли на пенсию до изменения настроек."
"LBR_RET_NT2","Повышение пенсионного возраста не изменит статуса жителей, которые уже вышли на пенсию до изменения настроек."
"LBR_CHI","Этапы детского возраста (только для Sunset Harbor)"
"LBR_CHI_CUS","Использовать настраиваемый детский возраст"
"LBR_CHI_SCH","Возраст в котором дети идут в начальную школу"
"LBR_CHI_TEE","Возраст в котором подростки идут в высшую школу"
"LBR_CHI_YOU","Возраст в котором молодые люди поступают в колледж/университет"
"LBR_HEA","Здоровье"
"LBR_HEA_ILL","Произвольный шанс заболеть (в %) за десять лет жизни"
"LBR_HEA_ILD","Не влияет на болезни из-за загрязнений или шума"
"LBR_HEA_AGE","Возраст"
"LBR_DTH","Смерти"
"LBR_DTH_TRN","% умерших, требующих перевозки после смерти"
"LBR_DTH_TRD","(По умолчанию в игре 67%, для мода 50%)"
"LBR_IMM","Иммиграция"
"LBR_IMM_VAR","Применить 25% разброс уровня образования для иммигнантов"
"LBR_IMM_INC","Увеличить средний возраст образованных иммигрантов"
"LBR_IMM_DEC","Уменьшить средний возраст образованных иммигрантов"
"LBR_SET","Настройки"
"LBR_SET_LGD","Записывать лог смерти в 'Lifecycle death log.txt'"
"LBR_SET_LGI","Записывать лог иммиграций в 'Lifecycle immigration log.txt'"
"LBR_SET_LGT","Записывать лог выбора нестандартного транспорта в 'Lifecycle transport log.txt' ВНИМАНИЕ, ОЧЕНЬ МЕДЛЕННО!"
"LBR_SET_LGS","Записывать случаи болезни в 'Lifecycle sickness log.txt'"
"LBR_SPD","Скорость"
"LBR_SPD_FAC","Фактор замедления старения граждан по сравнению с базовой игрой."
"LBR_SPD_FN1","1 - базовая скорость игры (35 игровых недель равны 10 годам жизни), 2 - вдвое медленнее (70 недель равны 10 годам), 3 - втрое медленнее и так далее. Множитель равный 15 значит что жители будут стареть примерно на год, за 1 игровой год."
"LBR_SPD_FN2","Это не влияет на жизненные циклы или возраст - только на то, насколько быстро люди стареют с точки зрения скорости игры."
"LBR_SPD_FN3","(По умолчанию в игре 1, в моде 3)"
"LBR_TRN","Транспорт"
"LBR_TRN_CUS","Использовать нестандартную вероятность использования транспорта"
"LBR_TRN_WEA","Уровень доходов"
"LBR_TRN_CAR","Вероятность использования машины (%)"
"LBR_TRN_BIK","Вероятность использования велосипеда (%)"
"LBR_TRN_TAX","Вероятность использования такси (%)"
"LBR_TRN_RLO","Малоэтажная застройка"
"LBR_TRN_RHI","Многоэтажная застройка"
"LBR_TRN_RW2","Жилые wall-to-wall"
"LBR_TRN_ERL","Эко малоэтажная застройка"
"LBR_TRN_ERH","Эко многоэтажная застройка"
"LBR_TRN_CHL","Дети"
"LBR_TRN_TEN","Подростки"
"LBR_TRN_YAD","Молодые взрослые"
"LBR_TRN_ADL","Взрослые"
"LBR_TRN_SEN","Пожилые"
"LBR_DEF","по умолчанию"
"LBR_RTD","Вернуть настройки по умолчанию"
"LBR_RTS","Вернуть сохранённые"
"LBR_SAA","Сохранить и применить"
"LBR_ZRO","Установить всё на 0"
"LBR_150_TIT","Lifecycle Rebalance Revisited был обновлён до версии 1.5"
"LBR_150_NT1","Выбор транспортного средства теперь можно редактировать с помощью панели опций, а эко и обычные дома могут иметь разные предпочтения. "
"LBR_150_NT2","Уровень образования у прибывающих в ваш город людей может быть настроен"
"LBR_151_NT1","Настроить панель опций для перевода"
"LBR_152_NT1","Родители-одиночки с несовершеннолетними детьми, живущими дома, будут защищены от преждевременной смерти, чтобы они не оставались сиротами."
"LBR_152_NT2","Улучшены проверки на конфликты с другими модами и уведомления"
"LBR_152_NT3","Улучшены уведомления об обновлении"
"LBR_154_NT1","Изменён подход к смерти родителей-одиночек: удаление детей-сирот, когда умирают оба родителя (вместо того, чтобы избавлять родителей от смерти)"
"LBR_154_NT2","Добавлен код для проверки и удаления жильцов здания с недопустимыми данными"
"LBR_160_NT1","ОСНОВНАЯ НОВАЯ ФУНКЦИЯ: реалистичное старение и прогресс, от детства до молодого взрослого (необязательна, настраиваемая)"
"LBR_160_NT2","Новое старение соответствует реальным ценностям и стадиям жизни и включает в себя дошкольный этап жизни (маленькие дети)"
"LBR_160_NT3","Эту опцию можно включить/отключить и настроить на панели параметров мода"
"LBR_160_NT4","ПРИМЕЧАНИЕ: эта опция изначально включена по умолчанию"
