"LANGUAGE","简体中文"
"LBR_NAME","生命周期重平衡重制版"
"LBR_DESC","使公民寿命增加并随机化，使移民的年龄和教育水平随机化，并改变公民上下班的方式"
"LBR_SPN","人均寿命"
"LBR_SPN_WRN","警告"
"LBR_SPN_BAL","在游戏中改变设置会暂时破坏城市平衡。"
"LBR_SPN_BAK","强烈推荐在改变设置前进行备份！！！"
"LBR_CAL","生命周期计算模型"
"LBR_CAL_SUN","模组的日落港口DLC人均寿命（默认）"
"LBR_CAL_LEG","过往版本模组人均寿命（重置前模组）‒ 寿命较短，老年人较少"
"LBR_CAL_VAN","日落港口DLC原版人均寿命 ‒ 寿命变化较少，老年人略多"
"LBR_SHO","（仅使用模组的日落港口DLC人均寿命时有效）"
"LBR_RET","退休年龄选项"
"LBR_RET_USE","使用自定义退休年龄"
"LBR_RET_CUS","自定义退休年龄"
"LBR_RET_NT1","降低退休年龄不会改变已在先前设定下退休的公民的状态。"
"LBR_RET_NT2","提高退休年龄不会改变已在先前设定下退休的公民的外观。"
"LBR_CHI","孩童年龄选项(仅当使用mod的Sunset Harbor寿命)"
"LBR_CHI_CUS","使用自定义孩童年龄"
"LBR_CHI_SCH","起始学龄"
"LBR_CHI_TEE","高中起始学龄"
"LBR_CHI_YOU","大学起始学龄"
"LBR_HEA","健康"
"LBR_HEA_ILL","使每十年的疾病概率随机"
"LBR_HEA_ILD","不会影响由特定原因引起的疾病，例如污染或噪音"
"LBR_HEA_AGE","年龄"
"LBR_DTH","死亡"
"LBR_DTH_TRN","需要丧葬运送的遗体的百分比"
"LBR_DTH_TRD","（游戏默认 67%，模组默认 50%）"
"LBR_IMM","移民"
"LBR_IMM_VAR","向移民受教育水平应用 25% 的变化"
"LBR_IMM_INC","提高移民平均受教育水平"
"LBR_IMM_DEC","降低移民平均受教育水平"
"LBR_SET","设置"
"LBR_SET_LGD","记录死亡数到 'Lifecycle death log.txt'"
"LBR_SET_LGI","记录移民数到 'Lifecycle immigration log.txt'"
"LBR_SET_LGT","记录自定义交通选择到 'Lifecycle transport log.txt' 警告- 运行缓慢"
"LBR_SET_LGS","记录疾病事件到 'Lifecycle sickness log.txt'"
"LBR_SPD","速度"
"LBR_SPD_FAC","与原游戏相比，降低公民年龄的因素。"
"LBR_SPD_FN1","1 是原游戏速度（游戏内 35 周相当于 10 岁），2 是 2 倍慢速（游戏内 70 周相当于 10 岁），3 是 3 倍慢速，以此类推。15 倍速慢意味着居民在游戏中的每一年都会变老 1 岁。"
"LBR_SPD_FN2","不影响生命周期或年龄-只影响公民年龄的速度相对于游戏内时间。"
"LBR_SPD_FN3","（游戏默认为 1，模组默认为 3）"
"LBR_TRN","交通"
"LBR_TRN_CUS","使用自定义交通模式概率"
"LBR_TRN_WEA","财富水平"
"LBR_TRN_CAR","汽车使用概率 (%)"
"LBR_TRN_BIK","自行车使用概率 (%)"
"LBR_TRN_TAX","出租车使用概率 (%)"
"LBR_TRN_RLO","低密度住宅"
"LBR_TRN_RHI","高密度住宅"
"LBR_TRN_RW2","联排住宅"
"LBR_TRN_ERL","低密度生态住宅"
"LBR_TRN_ERH","高密度生态住宅"
"LBR_TRN_CHL","儿童"
"LBR_TRN_TEN","少年"
"LBR_TRN_YAD","青年人"
"LBR_TRN_ADL","成年人"
"LBR_TRN_SEN","老年人"
"LBR_DEF","默认"
"LBR_RTD","重置为默认值"
"LBR_RTS","回退至已保存"
"LBR_SAA","保存并应用"
"LBR_ZRO","全部设置为零"
"LBR_150_TIT","生命周期重平衡重制已更新到 1.5 版本"
"LBR_150_NT1","交通模式的选择现在可以通过选项面板进行编辑，生态住宅和普通住宅可以有不同的模式选择"
"LBR_150_NT2","可以修改移居到你的城市的人的教育水平"
"LBR_151_NT1","调整翻译选项面板布局"
"LBR_152_NT1","有未成年子女的居家单亲父母会免于早逝，以帮助避免孤儿家庭"
"LBR_152_NT2","改进模组冲突检测和提示"
"LBR_152_NT3","改进升级通知"
"LBR_154_NT1","添加代码以检测并移除建筑内有无效数据的居民"
"LBR_154_NT2","添加代码以检查和删除具有无效数据的建筑物居民"
"LBR_160_NT1","主要新特点:现实生活的早期老化和进步，从早期"
"LBR_160_NT2","新的早期生命衰老与现实世界的价值观和阶段相匹配"
"LBR_160_NT3","这个选项可以在mod的选项中启用/禁用和自定义"
"LBR_160_NT4","注意:这个选项最初是默认启用的"
