"LANGUAGE","正體中文"
"LBR_NAME","生命週期再平衡重製版 (Lifecycle Rebalance Revisited)"
"LBR_DESC","增加和隨機化市民的壽命，隨機化移民的年齡和教育水準，並改變市民工作和旅行的方式"
"LBR_SPN","壽命"
"LBR_SPN_WRN","警告"
"LBR_SPN_BAL","遊戲期間更改設定可能會暫時破壞城市平衡。（不推薦在遊戲進行時更改數值和設置）"
"LBR_SPN_BAK","強烈建議在更改之前備份遊戲存檔。（建議在開始新遊戲或讀取存檔之前，完成並保存所有設置的修改之後退出遊戲一次，在重新開啟遊戲）"
"LBR_CAL","生命週期計算模式"
"LBR_CAL_SUN","模組 - 日落港資料片壽命模式（預設）"
"LBR_CAL_LEG","傳統 - 壽命模式（原始WG模組）- 壽命較短，老年人較少"
"LBR_CAL_VAN","遊戲預設 - 日落港資料片壽命模式 - 可變壽命少，老年人多"
"LBR_SHO","（僅在使用“模組 - 日落港資料片壽命模式”時可用）"
"LBR_RET","退休年齡選項"
"LBR_RET_USE","使用自訂退休年齡"
"LBR_RET_CUS","自訂退休年齡"
"LBR_RET_NT1","降低退休年齡不會改變已經在之前的設置下已退休的市民。"
"LBR_RET_NT2","提高退休年齡不會改變已經在之前的設置下已退休的市民。"
"LBR_CHI","未成年齡選項"
"LBR_CHI_CUS","使用自訂未成年年齡"
"LBR_CHI_SCH","未成年開始上小學的年齡"
"LBR_CHI_TEE","未成年開始上中學的年齡"
"LBR_CHI_YOU","未成年開始上大學/學院的年齡"
"LBR_HEA","健康狀況"
"LBR_HEA_ILL","每十個生命週期的隨機疾病率％"
"LBR_HEA_ILD","不會因特定原因導致疾病，例如: 汙染或噪音"
"LBR_HEA_AGE","年齡"
"LBR_DTH","死亡"
"LBR_DTH_TRN","需要靈車運輸的屍體百分比"
"LBR_DTH_TRD","(遊戲預設為67％，模組預設為50％）"
"LBR_IMM","移民"
"LBR_IMM_VAR","移民的教育水準有25％的隨機變動性"
"LBR_IMM_INC","提高移民教育平均水準"
"LBR_IMM_DEC","降低移民教育平均水準"
"LBR_SET","設置"
"LBR_SET_LGD","將死亡記錄到 'Lifecycle death log.txt' 文檔"
"LBR_SET_LGI","將移民記錄到 'Lifecycle immigration log.txt' 文檔"
"LBR_SET_LGT","將自訂出行工具選擇記錄到 'Lifecycle transport log.txt' 警告 - 此功能影響遊戲效能！"
"LBR_SET_LGS","將疾病事件記錄到 'Lifecycle sickness log.txt' 文檔"
"LBR_SPD","壽命速率"
"LBR_SPD_FAC","與遊戲預設壽命速率相比，此因子係數為如何減慢市民年齡增長速度。"
"LBR_SPD_FN1","1 是遊戲預設壽命速率 (在遊戲內35個遊戲週等於市民10年壽命), 2 是兩倍於遊戲預設壽命速率 (在遊戲內70個遊戲週等於市民10年壽命), 3 是三倍於遊戲預設壽命速率, 以此類推。 15 則意味著每一個遊戲年中的市民壽命大約等同於真實的一歲，模擬比率幾乎為1：1。"
"LBR_SPD_FN2","不影響生命週期或年齡 - 僅影響市民的衰老速度。"
"LBR_SPD_FN3","（遊戲預設為 1, 模組預設為 3）"
"LBR_TRN","出行工具選擇"
"LBR_TRN_CUS","啟用自訂出行工具選擇概率"
"LBR_TRN_WEA","財富級別"
"LBR_TRN_CAR","私家車使用概率（％）"
"LBR_TRN_BIK","自行車使用概率（％）"
"LBR_TRN_TAX","計程車使用概率（％）"
"LBR_TRN_RLO","居民： 低密度"
"LBR_TRN_RHI","居民： 高密度"
"LBR_TRN_RW2","Residential wall-to-wall"
"LBR_TRN_ERL","居民： 低密度-專業化自給住宅行政專區"
"LBR_TRN_ERH","居民： 高密度-專業化自給住宅行政專區"
"LBR_TRN_CHL","孩童"
"LBR_TRN_TEN","青少年"
"LBR_TRN_YAD","青年人"
"LBR_TRN_ADL","成年人"
"LBR_TRN_SEN","老年人"
"LBR_DEF","預設"
"LBR_RTD","重置為預設值"
"LBR_RTS","還原到之前已存檔的設置"
"LBR_SAA","保存並應用"
"LBR_ZRO","全部設定為零"
"LBR_150_TIT","生命週期再平衡重製版(Lifecycle Rebalance Revisited)已經更新至1.5.2"
"LBR_150_NT1","現在可以通過選項面板編輯運輸選擇模式，自給住宅和標準住宅可以有不同的選擇模式"
"LBR_150_NT2","進入您的城市的市民教育水準可以被修改"
"LBR_151_NT1","針對不同的語言調整選項面板佈局"
"LBR_152_NT1","有未成年子女在家居住的單親父母將免於過早死亡，以防止孤兒家庭"
"LBR_152_NT2","改進模組(Mod)的衝突檢查和通知"
"LBR_152_NT3","改進更新通知"
"LBR_154_NT1","改變單親死亡的處理方式：當父母雙亡時移除孤兒(而不是讓父母免於死亡)"
"LBR_154_NT2","添加代碼以檢查和刪除具有無效數據的建築物和居民"
"LBR_160_NT1","主要新功能：逼真的早期生活老化和進步，從幼兒到年輕成人(可選，可定制)"
"LBR_160_NT2","新的早年老齡化與現實世界的價值觀和階段相匹配，包括學前階段的生活(未成年)"
"LBR_160_NT3","可以在模組的選項面板中啟用或禁用和自訂此選項"
"LBR_160_NT4","注意：此選項最初預設啟用"
